"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names"
"*menambahkan anda","normal","_Terimakasih telah mengundang inc.bot digrup_ *%name%*\n(･ω･)\n\n\n██▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒██\n\nVersion       : <%app_version%>\nOwner         : TamaGans\nMade since: <07-01-2018>\n\n║▌│█║▌│ █║▌│█│║▌║\n║▌│█║▌│ █║▌│█│║▌║\n\n██▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒██\n\n╭────『 *PROFILE* 』\n│➜ Nama BOT : *Si inc.bot*\n│➜ Owner BOT : *wa.me/6282211224927*\n│➜ Apakah Bot manusia? : Bot bukan\n│manusia, Tapi penciptanya yg manusia!\n│➜ Cara join grup : Kirim link undangan ke\n│Bot kasih caption *#join* <link grup>\n│➜ Botnya pilih kasih : Bot gak pernah\n│pilih kasih, mungkin pesan tidak terdaftar\n│di dalam menu!\n│➜ NB : Bot gak bisa @/tag orang kirim\n│file, gambar, media / semacamnya hanya\n│untuk merespon pesan saja!\n╰───────────────────\n\n⚠️ Catatan:\nJika bot tidak menjawab, artinya bot sedang offline.\nTerkadang bot mengalami bug ketika diaktifkan, mengirim pesan asal asalan, spam, dll.\nBot tidak memiliki nyawa dan pikiran, tetapi menggunakan algoritma kemungkinan, sebagai contohnya;\ninclude @self_think\nif they.asking then\nbot=answer\nelse they.idle then\nbot=null\nend\nrepeat\n\n██▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒██\n\nKlik link dibawah ini ↓ untuk menghubungi owner bot.\n\nhttps://api.whatsapp.com/send?phone=6283122808260&text=Saya+Do'akan+Kamu+Jadi+Orang+Sukses??\n\n_Untuk mengaktifkan bot ketik *#menu*_\n\n_Jika bot ini ingin menetap digrup_ *%name%* _maka wajib untuk donasi kalau tidak bot akan segera keluar_","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"p","none","_Alangkah baiknya menggunakan salam🙏😊_\nKetik _*#menu*_ untuk melihat list menu yg tersedia.\nBeda agama? *_Permisi_* biar sopan!","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*si inc.bot*//* mbul *//* inc.bot *","normal","Iya, ada apa sayang?\nDari pada gabut, mending ketik *_#menu_* ya say 🥰","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"🎤 pesan suara*","normal","Y<#>G","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*@owner ku*","normal","Jangan tag, ganggu!\nTuh Owner gue taw!","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"💟 stiker","none","Awokwkwk","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#owner,#donasi","none","Bot ngebug? Ngirim pesan asal²an? Atau ingin donasi? Chat aja disini↓↓↓\nhttps://wa.me/6282211224927?text=Hai+Abang+ganteng:v\n\nAdmin? : *TamaGans*\n\nSilahkan berikan masukan Anda ke owner bot, agar dapat informasi yg menarik & lebih baik.\n\nSubscribe:\nhttps://youtube.com/C/CallMeMstm\n\nFollow:\nhttps://instagram.com/mstm_27\n\nFacebook:\n\nTerimakasih telah menggunakan inc.bot 💓.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"* ohay*//*ohayou*//*ohayo*","normal","Ohayou👋","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"pesan ini telah dihapus","none","Njer dihapus dong wkwkwk","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*assalamu*alaikum warahmatullahi wabarakatu*","normal","Wa'alaikumsalam warahmatullahi wabarakatuh","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*assalamu*alaikum wr*","normal","Wa'alaikumsalam wr. wb.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*assalamu*alaikum*","normal","Wa'alaikumsalam","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*canda *","normal","Yosh!<#>Ara~ara<#>Chotto ñē","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"panggilan video tak terjawab","none","⚠️ Peringatan %name%\nJika anda menelpon, video call, spam chat / kirim virus dan semacamnya\nMaka bot akan menyedot pulsa anda dan melaporkan ke pihak berwajib","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"panggilan suara tak terjawab","none","⚠️ Peringatan %name%\nJika anda menelpon, video call, spam chat / kirim virus dan semacamnya\nMaka bot akan menyedot pulsa anda dan melaporkan ke pihak berwajib","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"🎥 video*","normal","*Maaf bot tidak bisa melihat* <%message%>\nKetik *_#owner_* untuk mengirim file/video tersebut.","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"📷 foto","none","*Maaf bot tidak bisa melihat* <%message%>\nKetik *_#owner_* untuk mengirim foto/gambar tersebut.","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"👤 *","normal","*Maaf bot tidak bisa menerima nomor/kontak* <%message%> *yg asing dikontak owner bot*\nKetik *_#owner_* untuk mengirim kontak/nomor tersebut.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"📷*","normal","*Maaf bot tidak bisa melihat* <%message%>\nKetik *_#owner_* untuk mengirim foto/gambar tersebut.","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"📄*","normal","*Maaf bot tidak bisa menerima* <%message%> *yg asing di handphone owner bot*\nKetik *_#owner_* untuk mengirim Dokumen tersebut.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"🎵 audio*","normal","*Maaf bot tidak bisa menerima* <%message%> *yg asing di handphone owner bot*\nKetik *_#owner_* untuk mengirim Audio tersebut.","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"📌 lokasi","none","*Maaf Bot tidak bisa mengakses lokasi* <%message%>\nKetik *""#owner""* untuk mengirim lokasi tersebut.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"🛒*","normal","Pingin ya? Chat Owner biar paham ketik *""#owner""*!","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"%pesan_sambutan%","welcome","Hai gan, inc.bot udah aktip, jangan lupa donasi biar awet dan tahan lama.\n\nOkeh kalo mau aktipin botnya ketik *""#menu""* ya gan :>\nYg mau join ketik *""#join""* trus kasih link.\n[Hanya pribadi chat]\n\nThxqu brader 🐦👋","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#*","normal","*Hai kawan! sayangnya... Bot tidaklah mengerti perintah* [%message%] , *silahkan ketik* _*#menu*_ *untuk menampilkan menu yang tersedia.*","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
